"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Milestone creation.","13112","checkCreateMilestoneTest","Test Rail Regression Test","Sat Jul 19 10:33:58 GMT 2025","broken","Sat Jul 19 10:34:11 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Test Case deletion.","10646","checkDeleteTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:36:01 GMT 2025","broken","Sat Jul 19 10:36:11 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check Project creation.","5598","checkCreateProjectTest","Test Rail Regression Test","Sat Jul 19 10:35:29 GMT 2025","passed","Sat Jul 19 10:35:35 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
"Check Project editing.","7777","checkEditProjectTest","Test Rail Regression Test","Sat Jul 19 10:35:02 GMT 2025","passed","Sat Jul 19 10:35:10 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check Project editing.","1477","updateExistingProjectTest","Test Rail Regression Test","Sat Jul 19 10:32:55 GMT 2025","passed","Sat Jul 19 10:32:56 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
"Check Test Cases creation.","11117","checkCreateTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:33:19 GMT 2025","broken","Sat Jul 19 10:33:30 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Project deletion.","5834","checkDeleteProjectTest","Test Rail Regression Test","Sat Jul 19 10:36:47 GMT 2025","passed","Sat Jul 19 10:36:53 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Milestone editing.","10572","checkEditMilestoneTest","Test Rail Regression Test","Sat Jul 19 10:34:00 GMT 2025","passed","Sat Jul 19 10:34:10 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check Test Run deletion.","11326","checkDeleteTestRunTest","Test Rail Regression Test","Sat Jul 19 10:36:35 GMT 2025","failed","Sat Jul 19 10:36:46 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check Test Run editing.","11294","checkEditTestRunTest","Test Rail Regression Test","Sat Jul 19 10:34:35 GMT 2025","failed","Sat Jul 19 10:34:46 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Project creation.","3697","createNewProjectTest","Test Rail Regression Test","Sat Jul 19 10:32:50 GMT 2025","passed","Sat Jul 19 10:32:54 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
"Check Test Run creation.","11288","checkCreateTestRunTest","Test Rail Regression Test","Sat Jul 19 10:35:17 GMT 2025","failed","Sat Jul 19 10:35:29 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Test Case editing.","11085","checkEditTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:33:20 GMT 2025","broken","Sat Jul 19 10:33:31 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
"Check Project deletion.","2808","deleteProjectByName","Test Rail Regression Test","Sat Jul 19 10:35:35 GMT 2025","passed","Sat Jul 19 10:35:38 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
"Check Project reading.","3714","readNewProjectTest","Test Rail Regression Test","Sat Jul 19 10:32:50 GMT 2025","passed","Sat Jul 19 10:32:54 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
"Check that the test completes all necessary steps to set statuses for created test cases.","13019","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sat Jul 19 10:34:40 GMT 2025","broken","Sat Jul 19 10:34:53 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
